purchase_flight_id,purchase_id,ticket_id,purchase_flight_date,purchase_total
92,469,2594,2020-01-26 19:53:24,0
93,484,2296,2020-05-22 08:47:58,0
94,265,3645,2021-01-31 05:03:51,0
95,783,2286,2019-01-31 08:56:08,0
96,988,675,2019-12-23 09:31:32,0
97,828,745,2019-10-27 21:29:00,0
98,306,272,2019-09-01 23:34:50,0
99,472,3553,2020-02-19 04:43:53,0
100,851,1860,2020-05-23 14:01:19,0
101,324,743,2021-09-12 17:28:49,0
102,999,1370,2021-08-15 09:54:31,0
103,132,3259,2021-07-29 11:48:42,0
104,674,3083,2019-03-11 10:25:34,0
105,945,3105,2021-03-23 12:52:37,0
106,627,3839,2020-02-09 11:15:54,0
107,444,3080,2018-03-11 09:56:47,0
108,284,230,2018-12-24 08:47:55,0
109,448,3973,2020-09-15 14:15:41,0
110,450,3149,2021-03-12 01:11:23,0
111,667,336,2019-07-16 19:21:18,0
112,209,1961,2021-10-30 09:58:56,0
113,772,1077,2019-04-21 16:05:59,0
114,175,2185,2021-04-25 09:46:15,0
115,553,1039,2019-01-31 17:31:13,0
116,214,2722,2018-09-26 04:59:00,0
117,164,1242,2019-01-20 15:15:02,0
118,551,1591,2020-04-04 10:52:04,0
119,420,3225,2020-08-30 03:31:44,0
120,838,2950,2018-06-23 22:36:42,0
121,620,3786,2021-03-09 14:23:47,0
122,212,2334,2021-05-15 18:35:38,0
123,665,2525,2019-08-27 00:56:13,0
124,152,2873,2020-09-13 19:45:05,0
125,519,990,2020-04-30 23:56:04,0
126,398,2696,2020-06-18 05:17:19,0
127,107,1569,2019-03-27 09:42:43,0
128,122,2087,2018-12-31 05:51:03,0
129,965,1733,2018-09-06 23:08:04,0
130,585,3230,2021-08-19 05:26:08,0
131,649,3042,2020-08-02 00:28:04,0
132,764,1495,2018-02-14 20:33:59,0
133,801,772,2020-01-15 02:00:27,0
134,328,2186,2018-01-15 18:08:17,0
135,248,3160,2020-05-13 03:42:26,0
136,88,222,2021-08-17 10:32:57,0
137,266,895,2020-12-04 08:25:14,0
138,215,3719,2020-01-14 07:17:50,0
139,682,924,2021-12-15 01:35:55,0
140,387,706,2018-01-23 18:19:52,0
141,636,313,2019-05-12 02:30:53,0
142,100,1840,2021-12-15 23:43:14,0
143,806,2734,2019-08-14 08:01:56,0
144,675,274,2018-04-29 09:52:53,0
145,333,1103,2021-05-05 05:31:26,0
146,863,30,2021-06-20 11:32:25,0
147,707,2531,2020-05-15 20:26:16,0
148,681,3732,2019-10-28 16:47:18,0
149,273,3279,2019-11-05 17:08:08,0
150,14,472,2020-03-01 09:27:58,0
151,888,3940,2020-03-09 11:05:56,0
152,675,372,2019-11-15 13:28:14,0
153,366,2031,2019-08-18 06:54:33,0
154,72,3536,2019-08-12 12:51:11,0
155,930,817,2021-09-10 07:39:00,0
156,911,4024,2018-02-19 06:53:58,0
157,841,3694,2018-12-07 13:46:00,0
158,99,928,2021-04-10 10:32:05,0
159,330,1363,2019-05-31 22:54:02,0
160,905,112,2021-01-19 07:57:53,0
161,230,3482,2018-02-11 20:35:42,0
162,176,2073,2018-09-02 18:15:41,0
163,761,3873,2021-12-27 09:04:37,0
164,878,3016,2020-11-24 05:42:06,0
165,7,1986,2020-07-03 04:55:56,0
166,872,3246,2021-12-28 08:13:32,0
167,255,345,2019-05-04 05:17:11,0
168,27,4107,2019-02-18 06:30:22,0
169,68,2100,2021-07-11 11:17:12,0
170,623,1423,2019-06-26 20:21:55,0
171,201,503,2021-11-12 21:03:21,0
172,521,968,2020-10-04 19:38:47,0
173,945,880,2021-08-23 04:12:46,0
174,105,2576,2019-01-15 06:28:15,0
175,943,58,2018-02-14 05:07:22,0
176,463,2280,2019-08-20 04:57:32,0
177,7,1986,2020-07-03 04:55:56,0
178,993,961,2019-06-09 02:22:44,0
179,742,2433,2019-05-17 13:30:30,0
180,310,3060,2019-05-27 13:23:29,0
181,858,3334,2021-10-12 02:58:09,0
182,553,2283,2021-10-31 17:28:08,0
183,160,908,2020-12-13 23:49:02,0
184,797,2165,2021-12-13 16:55:16,0
185,860,3529,2020-01-15 16:29:38,0
186,154,1504,2021-07-27 16:56:11,0
187,276,1056,2018-04-24 00:40:53,0
188,219,2876,2018-01-10 00:50:21,0
189,119,473,2019-08-20 16:08:43,0
190,538,382,2021-10-17 06:34:23,0
191,350,1418,2018-02-08 05:47:32,0
192,597,544,2021-01-16 12:08:42,0
193,518,3802,2019-08-25 16:12:51,0
194,625,1992,2019-03-08 23:47:15,0
195,859,3926,2019-11-06 11:19:41,0
196,274,2521,2021-12-08 13:58:12,0
197,23,2919,2019-01-24 22:18:36,0
198,159,2369,2020-04-12 13:43:36,0
199,685,3997,2021-02-05 02:52:28,0
200,854,3758,2018-10-03 16:40:13,0
201,247,980,2018-05-24 00:33:22,0
202,409,3710,2018-05-13 12:44:33,0
203,935,2162,2020-01-27 06:01:28,0
204,351,246,2020-06-08 17:54:43,0
205,804,611,2018-08-29 18:48:18,0
206,258,2880,2020-06-10 04:58:46,0
207,108,2795,2019-05-29 09:10:44,0
208,500,4036,2018-03-29 09:57:34,0
209,241,3229,2020-02-23 01:00:10,0
210,130,2004,2020-06-19 12:39:33,0
211,201,692,2021-12-20 04:40:55,0
212,407,2118,2021-10-21 07:57:41,0
213,570,2615,2021-10-21 08:04:00,0
214,766,1874,2018-04-29 03:09:09,0
215,209,1416,2021-11-10 19:15:16,0
216,89,53,2021-08-27 11:34:07,0
217,477,1426,2018-08-03 00:46:53,0
218,167,2681,2018-06-25 12:19:41,0
219,137,3302,2021-10-04 06:57:27,0
220,18,270,2019-04-01 11:22:23,0
221,848,3855,2019-02-22 12:38:45,0
222,508,3196,2021-11-02 07:20:11,0
223,211,1049,2020-05-18 16:23:09,0
224,992,495,2020-12-18 17:08:25,0
225,462,1721,2020-11-07 13:02:44,0
226,197,1381,2018-04-30 09:42:24,0
227,902,1679,2019-04-06 06:21:48,0
228,647,3792,2021-01-16 21:46:55,0
229,215,1452,2021-02-13 03:33:54,0
230,375,613,2018-02-17 21:00:03,0
231,892,1898,2021-06-23 05:24:31,0
232,163,2821,2019-01-17 03:55:28,0
233,957,1802,2018-10-18 16:31:00,0
234,965,3175,2019-08-21 10:40:13,0
235,328,1018,2018-06-19 16:29:18,0
236,44,1212,2021-07-24 14:57:55,0
237,362,462,2018-05-04 17:08:02,0
238,623,622,2018-01-07 18:46:12,0
239,168,2907,2021-05-28 06:05:49,0
240,513,277,2021-09-21 19:42:02,0
241,371,2420,2019-06-27 19:40:48,0
242,793,2313,2020-08-07 14:18:47,0
243,800,43,2021-05-05 17:41:42,0
244,512,276,2019-05-06 16:38:17,0
245,368,1033,2021-01-20 13:48:42,0
246,56,3993,2020-09-26 08:01:21,0
247,996,3398,2018-12-17 20:25:01,0
248,617,888,2019-08-25 06:04:17,0
249,140,1241,2020-08-04 22:11:49,0
250,708,1839,2020-09-14 13:05:31,0
