purchase_id,ticket_id,flight_id
# 702,960,6
# 12,962,6
# 497,966,6
521,968,6
39,973,6
387,978,6
213,981,6
426,984,6
304,988,6
746,992,6
575,993,6
593,994,6
384,1003,6
536,1007,6
708,1009,6
389,1015,6
40,1028,6
96,1032,6
154,1040,6
329,1041,6
944,1044,6
988,1046,6
274,1047,6
537,1053,6
468,1060,6
402,1063,6
390,1065,6
119,1067,6
818,1068,6
751,1070,6
2,1073,6
305,1074,6
86,1089,7
367,1092,7
900,1097,7
333,1103,7
704,1106,7
953,1108,7
208,1109,7
299,1112,7
177,1117,7
425,1118,7
65,1119,7
688,1120,7
562,1127,7
778,1130,7
412,1133,7
447,1135,7
152,1138,7
582,1142,7
157,1148,7
475,1155,7
478,1157,7
985,1158,7
155,1159,7
244,1162,7
# 2,1168,7
# 688,1170,7
# 402,1171,7
91,1172,7
35,1180,7
916,1181,7
403,1183,7
762,1184,7
114,1189,7
760,1196,7
451,1200,7
799,1213,7
954,1215,7
398,1217,7
889,1220,7
191,1221,7
897,1222,7
532,1225,7
655,1234,7
584,1239,7
140,1241,7
511,1247,7
679,1249,7
264,1251,7
588,1255,7
260,1256,7
99,1263,8
835,1264,8
343,1266,8
216,1271,8
235,1272,8
228,1273,8
271,1278,8
77,1280,8
172,1284,8
1,1287,8
538,1295,8
85,1304,8
651,1305,8
948,1307,8
976,1312,8
678,1315,8
861,1317,8
341,1321,8
489,1323,8
126,1328,8
672,1332,8
535,1349,8
463,1354,8
739,1355,8
877,1359,8
36,1361,8
310,1368,8
1000,1373,8
433,1375,8
980,1383,8
83,1388,8
54,1391,8
425,1394,8
520,1395,8
678,1401,8
190,1402,8
795,1403,8
641,1404,8
# 796,1405,8
# 561,1413,8
410,1417,8
350,1418,8
336,1421,8
829,1422,8
623,1423,8
279,1425,8
922,1428,8
314,1429,8
423,1430,8
493,1440,8
815,1450,9
534,1457,9
941,1459,9
# 693,1468,9
# 855,1469,9
# 885,1472,9
# 768,1476,9
# 338,1478,9
# 349,1480,9
# 881,1481,9
773,1486,9
756,1487,9
384,1492,9
782,1498,9
363,1500,9
909,1501,9
30,1506,9
861,1507,9
173,1508,9
486,1511,9
510,1515,9
121,1518,9
870,1520,9
281,1521,9
981,1522,9
359,1524,9
823,1529,9
304,1530,9
480,1532,9
802,1534,9
494,1536,9
488,1538,9
168,1548,9
807,1549,9
365,1550,9
196,1554,9
286,1555,9
455,1556,9
482,1560,9
107,1569,9
614,1570,9
694,1572,9
990,1575,9
129,1580,9
722,1585,9
149,1593,9
283,1595,9
35,1596,9
69,1598,9
290,1603,9
848,1608,9
2,1610,9
967,1614,9
779,1618,9
638,1619,9
536,1620,9
500,1622,10
157,1623,10
374,1625,10
746,1626,10
480,1632,10
157,1642,10
# 605,1646,10
# 920,1657,10
# 956,1666,10
# 237,1667,10
# 819,1675,10
# 555,1676,10
# 444,1680,10
# 752,1682,10
# 677,1683,10
804,1685,10
474,1691,10
613,1692,10
443,1693,10
769,1704,10
738,1708,10
680,1715,10
707,1722,10
491,1723,10
794,1724,10
65,1726,10
965,1733,10
428,1740,10
979,1748,10
187,1749,10
835,1761,10
722,1771,10
471,1772,10
553,1777,10
524,1783,10
401,1787,10
255,1788,10
303,1792,10
957,1802,11
101,1810,11
438,1814,11
898,1815,11
# 977,1817,11
# 684,1821,11
# 391,1822,11
# 45,1823,11
# 394,1825,11
# 657,1829,11
# 686,1830,11
# 453,1833,11
# 380,1838,11
# 913,1842,11
# 74,1847,11
# 174,1848,11
122,1849,11
796,1851,11
935,1856,11
66,1862,11
302,1868,11
907,1870,11
935,1872,11
766,1874,11
731,1876,11
225,1890,11
816,1893,11
728,1901,11
450,1902,11
116,1904,11
872,1910,11
174,1916,11
453,1918,11
338,1922,11
480,1924,11
707,1927,11
300,1935,11
163,1936,11
889,1942,11
643,1943,11
385,1947,11
839,1950,11
959,1951,11
385,1958,11
736,1963,11
427,1964,11
335,1966,11
619,1974,11
741,1977,11
99,1978,11
780,1984,13
711,1985,13
671,1987,13
379,1989,13
10,1991,13
625,1992,13
584,1998,13
86,2001,13
514,2003,13
311,2010,13
30,2015,13
# 576,2016,13
# 567,2017,13
# 926,2021,13
# 702,2024,13
# 762,2038,13
# 430,2044,13
# 870,2046,13
# 989,2047,13
# 466,2051,13
# 655,2059,13
642,2067,13
684,2068,13
176,2073,13
808,2080,13
122,2087,13
182,2088,13
459,2089,13
625,2090,13
689,2101,13
40,2104,13
6,2112,13
352,2113,13
164,2115,13
439,2121,13
222,2122,13
534,2128,13
676,2130,13
780,2135,13
643,2137,13
598,2138,13
278,2142,13
619,2151,13
931,2152,13
545,2154,13
89,2161,14
100,2163,14
797,2165,14
142,2166,14
17,2170,14
530,2171,14
242,2176,14
769,2183,14
328,2186,14
304,2191,14
765,2193,14
799,2197,14
440,2207,14
351,2208,14
818,2209,14
971,2211,14
677,2212,14
# 282,2215,14
# 735,2216,14
# 577,2220,14
# 575,2221,14
# 902,2225,14
134,2235,14
781,2237,14
990,2239,14
894,2242,14
988,2245,14
370,2246,14
680,2249,14
483,2252,14
687,2254,14
900,2256,14
872,2259,14
991,2261,14
761,2265,14
377,2267,14
114,2271,14
467,2276,14
463,2280,14
296,2284,14
865,2289,14
382,2298,14
518,2300,14
972,2304,14
761,2310,14
685,2315,14
821,2322,14
348,2323,14
818,2328,14
169,2330,14
95,2332,14
519,2343,15
671,2344,15
# 202,2345,15
# 931,2354,15
# 519,2355,15
# 821,2359,15
# 395,2361,15
# 737,2363,15
795,2371,15
39,2372,15
807,2374,15
668,2375,15
116,2383,15
679,2389,15
187,2390,15
415,2398,15
555,2403,15
550,2409,15
981,2415,15
514,2424,15
16,2425,15
627,2431,15
577,2442,15
920,2443,15
231,2444,15
533,2453,15
321,2461,15
22,2464,15
844,2467,15
401,2475,15
721,2476,15
449,2495,15
368,2500,15
65,2501,15
973,2504,15
301,2516,15
381,2518,15
964,2522,16
368,2523,16
132,2524,16
665,2525,16
240,2529,16
418,2536,16
254,2537,16
177,2541,16
269,2545,16
851,2557,16
439,2560,16
52,2561,16
44,2564,16
967,2573,16
61,2574,16
165,2575,16
626,2581,16
187,2583,16
606,2585,16
25,2593,16
891,2595,16
595,2598,16
977,2599,16
# 471,2602,16
# 322,2607,16
# 524,2608,16
# 251,2622,16
# 39,2626,16
# 441,2627,16
# 550,2628,16
# 775,2633,16
# 553,2635,16
# 447,2637,16
53,2638,16
986,2640,16
312,2642,16
1000,2643,16
727,2648,16
957,2653,16
173,2656,16
404,2663,16
590,2667,16
445,2669,16
118,2672,16
371,2673,16
980,2674,16
445,2677,16
794,2678,16
167,2681,16
809,2685,16
87,2687,16
23,2693,16
279,2694,16
200,2698,16
102,2700,16
163,2707,17
222,2718,17
858,2724,17
173,2725,17
43,2727,17
34,2730,17
14,2735,17
685,2737,17
466,2740,17
581,2744,17
83,2746,17
641,2759,17
74,2762,17
913,2763,17
264,2764,17
804,2769,17
497,2773,17
902,2776,17
741,2778,17
765,2781,17
37,2785,17
# 812,2787,17
# 184,2793,17
# 650,2794,17
# 153,2797,17
# 326,2799,17
# 338,2805,17
# 660,2808,17
843,2812,17
338,2813,17
889,2817,17
824,2818,17
757,2819,17
854,2820,17
428,2823,17
985,2833,17
915,2834,17
71,2837,17
279,2844,17
134,2847,17
423,2848,17
8,2854,17
821,2860,17
981,2872,17
343,2875,17
219,2876,17
383,2882,19
738,2884,19
643,2885,19
746,2887,19
# 93,2895,19
# 652,2896,19
# 168,2907,19
# 129,2910,19
# 886,2912,19
581,2914,19
950,2925,19
63,2936,19
118,2938,19
135,2947,19
531,2949,19
439,2952,19
74,2955,19
986,2969,19
28,2972,19
238,2975,19
682,2978,19
366,2982,19
814,2987,19
699,2990,19
478,2994,19
172,2996,19
466,2997,19
666,2998,19
806,2999,19
802,3001,19
240,3002,19
772,3004,19
345,3007,19
954,3010,19
878,3016,19
46,3018,19
578,3040,19
296,3041,19
25,3043,19
854,3046,19
355,3049,19
869,3054,19
767,3055,19
749,3056,19
513,3067,20
830,3069,20
# 690,3070,20
# 735,3071,20
# 985,3072,20
474,3073,20
148,3074,20
626,3075,20
498,3086,20
803,3087,20
961,3091,20
42,3094,20
190,3100,20
590,3101,20
348,3102,20
766,3108,20
373,3116,20
89,3120,20
852,3121,20
480,3122,20
929,3124,20
959,3126,20
589,3129,20
906,3130,20
154,3133,20
366,3137,20
329,3140,20
533,3146,20
63,3147,20
450,3149,20
83,3150,20
834,3151,20
164,3153,20
281,3157,20
268,3159,20
9,3165,20
966,3171,20
992,3174,20
370,3176,20
849,3177,20
966,3178,20
995,3180,20
140,3183,20
881,3186,20
430,3188,20
51,3189,20
518,3201,20
276,3203,20
122,3210,20
627,3213,20
82,3216,20
599,3218,20
610,3220,20
504,3221,20
797,3227,20
241,3229,20
596,3232,20
# 916,3242,21
# 364,3256,21
597,3258,21
134,3261,21
813,3265,21
847,3266,21
609,3267,21
806,3271,21
512,3272,21
592,3273,21
998,3275,21
655,3276,21
825,3283,21
765,3284,21
530,3285,21
916,3286,21
839,3287,21
257,3293,21
811,3299,21
446,3301,21
298,3303,21
23,3308,21
203,3311,21
148,3318,21
376,3320,21
736,3322,21
427,3324,21
212,3328,21
851,3330,21
422,3333,21
142,3336,21
449,3340,21
34,3341,21
867,3345,21
693,3353,21
836,3355,21
848,3360,21
917,3364,21
219,3367,21
628,3370,21
556,3376,21
948,3379,21
693,3385,21
539,3390,21
639,3391,21
296,3393,21
671,3395,21
996,3398,21
945,3400,21
606,3401,21
543,3405,21
13,3406,21
646,3413,21
967,3415,21
291,3419,21
280,3426,22
472,3434,22
558,3444,22
698,3446,22
21,3451,22
# 244,3454,22
# 233,3459,22
# 279,3462,22
# 872,3467,22
# 487,3470,22
# 590,3477,22
710,3480,22
233,3486,22
635,3488,22
501,3494,22
874,3499,22
935,3501,22
492,3512,22
652,3515,22
211,3519,22
860,3529,22
20,3531,22
906,3542,22
163,3546,22
436,3548,22
362,3550,22
363,3563,22
972,3564,22
240,3565,22
566,3567,22
59,3568,22
246,3573,22
242,3576,22
958,3581,22
320,3589,22
987,3591,22
276,3592,22
336,3596,22
75,3597,22
909,3601,23
803,3607,23
937,3610,23
626,3612,23
686,3617,23
# 455,3618,23
# 973,3620,23
# 491,3624,23
# 919,3628,23
# 668,3631,23
# 79,3638,23
# 435,3640,23
# 300,3652,23
# 989,3659,23
106,3662,23
250,3663,23
332,3666,23
846,3670,23
445,3671,23
232,3673,23
729,3674,23
195,3680,23
588,3684,23
19,3686,23
500,3688,23
326,3693,23
538,3695,23
463,3699,23
749,3705,23
409,3710,23
110,3713,23
62,3720,23
592,3724,23
342,3728,23
58,3733,23
472,3740,23
986,3743,23
39,3749,23
624,3760,23
737,3764,23
929,3767,23
882,3768,23
44,3769,23
763,3771,23
232,3788,24
221,3789,24
702,3804,24
443,3809,24
187,3814,24
891,3818,24
262,3822,24
403,3828,24
55,3842,24
925,3843,24
567,3846,24
913,3852,24
632,3854,24
967,3856,24
# 327,3861,24
# 767,3862,24
# 527,3865,24
443,3875,24
542,3884,24
822,3887,24
88,3891,24
771,3895,24
166,3899,24
45,3906,24
478,3908,24
471,3910,24
814,3914,24
199,3917,24
708,3921,24
820,3929,24
946,3935,24
184,3938,24
576,3941,24
629,3945,24
118,3947,24
155,3951,24
586,3952,24
386,3953,24
140,3961,25
155,3963,25
605,3964,25
# 370,3974,25
# 429,3980,25
# 150,3981,25
# 24,3990,25
# 56,3993,25
# 867,4001,25
# 312,4009,25
# 898,4012,25
310,4023,25
911,4024,25
313,4031,25
291,4034,25
644,4041,25
72,4043,25
386,4044,25
748,4048,25
183,4051,25
147,4052,25
295,4056,25
532,4057,25
540,4061,25
211,4062,25
306,4065,25
151,4067,25
534,4069,25
253,4074,25
934,4078,25
953,4079,25
799,4083,25
86,4103,25
289,4110,25
94,4115,25
261,4118,25
290,4130,25
49,4131,25
760,4132,25
567,4135,25
